,Title,Author,Rating,Img,Img_description,Year,Words,Minutes,Description,Genres,Blurb,PDF,Epub,Read
0,"The £1,000,000 Bank-Note",Mark Twain,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/browsing.jpg,"A beared man in a suit, hat, and tie. Browsing clothing. Graphite filter.",1893.0,8226,33,"A man is given a bank note worth £1,000,000 as a bet to see whether it would be usable without arousing suspicion.",Quirky,"‘Give me the change, please.’",https://www.libraryofshortstories.com/storiespdf/the-1000000-bank-note.pdf,https://www.libraryofshortstories.com/storiesepub/the-1000000-bank-note.epub,https://www.libraryofshortstories.com/onlinereader/the-1000000-bank-note
1,"The $25,000 Jaw",Richard Connell,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/fist.jpg,A clenched fist. Graphite filter.,1922.0,6592,27,Croly Addicks is chinless both metaphorically and literally. But things take a drastic turn when the insults and disrespect finally make him snap.,Quirky,"“Aw, wadda yuh expeck of Chinless?” returned the brunette stenographer disdainfully as she crackled paper to conceal her breach of the office rules against conversation. “Feller with ingrown jaws was made to pick on.”",https://www.libraryofshortstories.com/storiespdf/the-25000-jaw.pdf,https://www.libraryofshortstories.com/storiesepub/the-25000-jaw.epub,https://www.libraryofshortstories.com/onlinereader/the-25000-jaw
2,2BR02B,Kurt Vonnegut,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/telephone.jpg,"A solitary,colourless rotary telephone resting on a stooll",1962.0,2519,11,"In a future where death has been solved, and the population of the United States is stabilised, a father waits nervously for his wife to give birth to triplets.",Sci-fi;Tragedy,The room was being redecorated. It was being redecorated as a memorial to a man who had volunteered to die.,https://www.libraryofshortstories.com/storiespdf/2br02b.pdf,https://www.libraryofshortstories.com/storiesepub/2br02b.epub,https://www.libraryofshortstories.com/onlinereader/2br02b
3,39,Henry Lawson,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/gentleman.jpg,"A man in a tux, tipping his hat. Graphite Filter.",1906.0,254,2,The author looks forward to living in his forties.,Poetry,"I only woke this morning - To find the world is fair - I’m going on for forty, - With scarcely one grey hair.",https://www.libraryofshortstories.com/storiespdf/39.pdf,https://www.libraryofshortstories.com/storiesepub/39.epub,https://www.libraryofshortstories.com/onlinereader/39
4,About Barbers,Mark Twain,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/stare.jpg,"Half of a stern, staring face. Graphite filter",1871.0,1576,7,A man awkwardly does his best to avoid falling into the hands of the worst barber in the barbershop.,Quirky,"About this time I was amusing myself trying to guess where he would be most likely to cut me this time, but he got ahead of me, and sliced me on the end of the chin before I had got my mind made up.",https://www.libraryofshortstories.com/storiespdf/about-barbers.pdf,https://www.libraryofshortstories.com/storiesepub/about-barbers.epub,https://www.libraryofshortstories.com/onlinereader/about-barbers
5,About Love,Anton Chekhov,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/affair.jpg,"A man and woman kissing by a window, graphite filter.",1898.0,3858,16,"A man recounts his love for a woman married to a boring man, and how he had wondered what she, or any woman, found in such men.",Literary,"“There is a proverb that if a peasant woman has no troubles she will buy a pig. The Luganovitchs had no troubles, so they made friends with me.”",https://www.libraryofshortstories.com/storiespdf/about-love.pdf,https://www.libraryofshortstories.com/storiesepub/about-love.epub,https://www.libraryofshortstories.com/onlinereader/about-love
6,According to Their Lights,O. Henry,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/newyork.jpg,Theatres at New York in 1900. Graphite Filter.,1907.0,2193,9,Two men become friends after falling from grace in different ways. But they have differing opinions on what they would be willing to do to get back into society.,Literary;Quirky,“I’d marry the Empress of China for one bowl of chop suey. I’d commit murder for a plate of beef stew. I’d steal a wafer from a waif. I’d be a Mormon for a bowl of chowder.”,https://www.libraryofshortstories.com/storiespdf/according-to-their-lights.pdf,https://www.libraryofshortstories.com/storiesepub/according-to-their-lights.epub,https://www.libraryofshortstories.com/onlinereader/according-to-their-lights
7,Across the Straits,Henry Lawson,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/steamboat.jpg,"A large steamboat on the sea, graphite filter.",1895.0,2032,9,"A pair set for New Zealand’s South Island to seek fortune, but start out with losing a half-sovereign.",Literary,"You would sooner know that you fooled your money away on a spree, and made yourself sick, than lost it out of an extra hole in your pocket, and kept well.",https://www.libraryofshortstories.com/storiespdf/across-the-straits.pdf,https://www.libraryofshortstories.com/storiesepub/across-the-straits.epub,https://www.libraryofshortstories.com/onlinereader/across-the-straits
8,An Adventure in Futurity,Clark Ashton Smith,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/an_adventure_in_futurity.jpg,"A drawing of two men in futuristic gear overlooking an majestic, alien palace with a fight between aliens occurning in the courtyard.",1931.0,14141,57,"Hugh befriends a strange man named Elkins, whose nationality and race Hugh is unable to pin down. Elkins shows a mysteriously advanced understanding of modern science despite having no public fame or connections.",Sci-fi;Adventure;Mystery,"“And do you ever think that present-day New York will some time be as fragmentary and fabulous as Troy or Zimbabwe? That archaeologists may delve in its ruins, beneath the sevenfold increment of later cities, and find a few rusting mechanisms of disputed use, and potteries of doubtful date—”",https://www.libraryofshortstories.com/storiespdf/an-adventure-in-futurity.pdf,https://www.libraryofshortstories.com/storiesepub/an-adventure-in-futurity.epub,https://www.libraryofshortstories.com/onlinereader/an-adventure-in-futurity
9,The Adventure of Black Peter,Arthur Conan Doyle,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_black_peter.jpg,Drawing of three men looking through a window to see a man slumped over but standing up.,1904.0,8098,33,The infamous retired sailor known as ‘Black Peter’ is found in his house speared to the wall by his own harpoon. Holmes is on the case.,Mystery;Adventure,"“This room is not well adapted for a cell, and Mr. Patrick Cairns occupies too large a proportion of our carpet.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-black-peter.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-black-peter.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-black-peter
